RPS, Angle, robotDistance, robotAngle, Height, Status
35, 55,3.28,-135.90,1.43,hadron
35, 55,3.08,-172.36,1.43,lepton
35, 55,3.39,159.985,1.43,lepton
35, 55,3.24,-171.53,1.43,hadron
35, 55,4.25,-56.675,1.43,lepton
35, 55,3.51,-136.33,1.43,hadron
35, 55,3.11,138.560,1.43,lepton
35, 55,3.21,-172.74,1.43,hadron
35, 55,3.24,171.207,1.43,hadron
35, 55,3.23,173.823,1.43,hadron
35, 55,3.14,-174.70,1.43,hadron
35, 55,3.10,-173.38,1.43,hadron
35, 55,3.12,-172.46,1.43,hadron
35, 55,3.10,-173.41,1.43,hadron
35, 55,3.06,-179.18,1.43,hadron
35, 55,3.15,168.529,1.43,hadron
