launcher_speed,robot_distance,robot_x,robot_y,robot_theta,Status
30,3.346619,8.295035,-0.067537,-135.790482,0
35,3.440800,7.062218,2.594069,177.365311,1
35,3.350945,7.394721,1.190608,-157.124298,1
35,3.252203,7.289476,1.930999,-169.339386,0
35,3.245426,7.344937,1.689493,-171.280807,1
35,3.244926,7.343988,1.695592,-169.789886,0
35,3.271304,7.314072,1.707513,-171.325424,0
35,3.332481,7.171258,2.292175,-176.904495,1
35,3.457904,8.035286,0.024658,-136.800568,0
40,3.484948,7.029219,2.136094,177.009491,1
35,5.043373,5.459426,2.617990,-0.592493,1
35,3.332838,7.168616,2.351547,176.491058,1
35,3.332838,7.168616,2.351547,176.491058,1
35,3.201591,7.321932,2.837395,-177.285553,1
